
Host: WE41476

Timers On : Wed Nov 24 21:45:48 2021
Timers Off: Wed Nov 24 21:45:51 2021

Wall Time:        2.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.004w      6 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.005w      2 calls

**************************************************************************************

Host: WE41476

Timers On : Thu Dec  2 13:58:25 2021
Timers Off: Thu Dec  2 13:58:27 2021

Wall Time:        1.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.000s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.016w      5 calls
DFH: initialize()                   :      0.050u      0.017s      0.038w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.006w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.001w      1 calls
HF: Guess                           :      0.033u      0.000s      0.027w      1 calls
SAD Guess                           :      0.033u      0.000s      0.026w      1 calls
HF: Form G                          :      0.800u      0.017s      0.474w      7 calls
RV: Form V                          :      0.800u      0.017s      0.470w      7 calls
Properties                          :      0.250u      0.000s      0.121w   3136 calls
Functional                          :      0.283u      0.017s      0.174w   3136 calls
V_xc                                :      0.250u      0.000s      0.159w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.003w      7 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.002w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.004w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.000s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      1 calls
DFH: initialize()                   :      0.050u      0.017s      0.038w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.006w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.017s      0.001w      1 calls
HF: Guess                           :      0.033u      0.000s      0.027w      1 calls
| SAD Guess                         :      0.033u      0.000s      0.026w      1 calls
HF: Form G                          :      0.800u      0.017s      0.474w      7 calls
| RV: Form V                        :      0.800u      0.017s      0.470w      7 calls
| | Properties                      :      0.250u      0.000s      0.121w   3136 calls
| | Functional                      :      0.283u      0.017s      0.174w   3136 calls
| | V_xc                            :      0.250u      0.000s      0.159w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.003w      7 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.002w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.004w      6 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.005w      2 calls

**************************************************************************************

Host: WE41476

Timers On : Thu Dec  2 13:59:45 2021
Timers Off: Thu Dec  2 13:59:47 2021

Wall Time:        1.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.017w      5 calls
DFH: initialize()                   :      0.050u      0.017s      0.036w      1 calls
DFH: AO Construction                :      0.033u      0.017s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.029w      1 calls
SAD Guess                           :      0.017u      0.017s      0.028w      1 calls
HF: Form G                          :      0.733u      0.017s      0.476w      7 calls
RV: Form V                          :      0.733u      0.017s      0.472w      7 calls
Properties                          :      0.150u      0.000s      0.123w   3136 calls
Functional                          :      0.200u      0.000s      0.175w   3136 calls
V_xc                                :      0.333u      0.000s      0.159w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.004w      7 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.017u      0.000s      0.009w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.033u      0.000s      0.004w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w      1 calls
DFH: initialize()                   :      0.050u      0.017s      0.036w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.017s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.029w      1 calls
| SAD Guess                         :      0.017u      0.017s      0.028w      1 calls
HF: Form G                          :      0.733u      0.017s      0.476w      7 calls
| RV: Form V                        :      0.733u      0.017s      0.472w      7 calls
| | Properties                      :      0.150u      0.000s      0.123w   3136 calls
| | Functional                      :      0.200u      0.000s      0.175w   3136 calls
| | V_xc                            :      0.333u      0.000s      0.159w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.004w      7 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.017u      0.000s      0.009w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.033u      0.000s      0.004w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w      2 calls

**************************************************************************************

Host: WE41476

Timers On : Thu Dec  2 14:56:42 2021
Timers Off: Thu Dec  2 14:56:45 2021

Wall Time:        2.91 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.017w      5 calls
DFH: initialize()                   :      0.033u      0.017s      0.036w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.000s      0.027w      1 calls
SAD Guess                           :      0.033u      0.000s      0.026w      1 calls
HF: Form G                          :      0.767u      0.017s      0.474w      7 calls
RV: Form V                          :      0.750u      0.017s      0.469w      7 calls
Properties                          :      0.167u      0.017s      0.121w   3136 calls
Functional                          :      0.350u      0.000s      0.174w   3136 calls
V_xc                                :      0.233u      0.000s      0.159w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.017u      0.000s      0.004w      7 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.004w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.004w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      1 calls
DFH: initialize()                   :      0.033u      0.017s      0.036w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.000s      0.027w      1 calls
| SAD Guess                         :      0.033u      0.000s      0.026w      1 calls
HF: Form G                          :      0.767u      0.017s      0.474w      7 calls
| RV: Form V                        :      0.750u      0.017s      0.469w      7 calls
| | Properties                      :      0.167u      0.017s      0.121w   3136 calls
| | Functional                      :      0.350u      0.000s      0.174w   3136 calls
| | V_xc                            :      0.233u      0.000s      0.159w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.017u      0.000s      0.004w      7 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.004w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.003w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.004w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w      2 calls

**************************************************************************************

Host: WE41476

Timers On : Thu Dec  2 14:57:30 2021
Timers Off: Thu Dec  2 14:57:31 2021

Wall Time:        1.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.018w      5 calls
DFH: initialize()                   :      0.033u      0.017s      0.036w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.017s      0.005w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.028w      1 calls
SAD Guess                           :      0.033u      0.017s      0.027w      1 calls
HF: Form G                          :      0.767u      0.017s      0.474w      7 calls
RV: Form V                          :      0.750u      0.017s      0.470w      7 calls
Properties                          :      0.233u      0.000s      0.121w   3136 calls
Functional                          :      0.283u      0.000s      0.175w   3136 calls
V_xc                                :      0.200u      0.000s      0.158w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.017u      0.000s      0.003w      7 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.003w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.007w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.017u      0.000s      0.004w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.008w      1 calls
DFH: initialize()                   :      0.033u      0.017s      0.036w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.017s      0.005w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.028w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.027w      1 calls
HF: Form G                          :      0.767u      0.017s      0.474w      7 calls
| RV: Form V                        :      0.750u      0.017s      0.470w      7 calls
| | Properties                      :      0.233u      0.000s      0.121w   3136 calls
| | Functional                      :      0.283u      0.000s      0.175w   3136 calls
| | V_xc                            :      0.200u      0.000s      0.158w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.017u      0.000s      0.003w      7 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.003w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.003w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.007w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.017u      0.000s      0.004w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w      2 calls

**************************************************************************************

Host: WE41476

Timers On : Thu Dec  2 14:57:49 2021
Timers Off: Thu Dec  2 14:57:51 2021

Wall Time:        1.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.017w      5 calls
DFH: initialize()                   :      0.050u      0.017s      0.036w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.017s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.028w      1 calls
SAD Guess                           :      0.033u      0.017s      0.026w      1 calls
HF: Form G                          :      0.783u      0.000s      0.472w      7 calls
RV: Form V                          :      0.767u      0.000s      0.468w      7 calls
Properties                          :      0.150u      0.000s      0.121w   3136 calls
Functional                          :      0.300u      0.000s      0.174w   3136 calls
V_xc                                :      0.300u      0.000s      0.158w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.017u      0.000s      0.004w      7 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.004w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.017u      0.017s      0.004w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w      1 calls
DFH: initialize()                   :      0.050u      0.017s      0.036w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.017s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.028w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.026w      1 calls
HF: Form G                          :      0.783u      0.000s      0.472w      7 calls
| RV: Form V                        :      0.767u      0.000s      0.468w      7 calls
| | Properties                      :      0.150u      0.000s      0.121w   3136 calls
| | Functional                      :      0.300u      0.000s      0.174w   3136 calls
| | V_xc                            :      0.300u      0.000s      0.158w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.017u      0.000s      0.004w      7 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.004w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.003w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.017u      0.017s      0.004w      6 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w      2 calls

**************************************************************************************

Host: WE41476

Timers On : Thu Dec  2 14:58:14 2021
Timers Off: Thu Dec  2 14:58:16 2021

Wall Time:        1.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.017w      5 calls
DFH: initialize()                   :      0.050u      0.017s      0.035w      1 calls
DFH: AO Construction                :      0.017u      0.017s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.027w      1 calls
SAD Guess                           :      0.033u      0.017s      0.026w      1 calls
HF: Form G                          :      0.800u      0.017s      0.473w      7 calls
RV: Form V                          :      0.800u      0.017s      0.469w      7 calls
Properties                          :      0.133u      0.000s      0.121w   3136 calls
Functional                          :      0.350u      0.000s      0.174w   3136 calls
V_xc                                :      0.300u      0.017s      0.158w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      7 calls
JK: JK                              :      0.000u      0.000s      0.004w      7 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.003w      7 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      7 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w      7 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
DIISManager::add_entry              :      0.000u      0.000s      0.002w      6 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      6 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      6 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      6 calls
New vector                          :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.004w      6 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.033u      0.017s      0.023w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.010w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w      1 calls
DFH: initialize()                   :      0.050u      0.017s      0.035w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.017u      0.017s      0.012w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.027w      1 calls
| SAD Guess                         :      0.033u      0.017s      0.026w      1 calls
HF: Form G                          :      0.800u      0.017s      0.473w      7 calls
| RV: Form V                        :      0.800u      0.017s      0.469w      7 calls
| | Properties                      :      0.133u      0.000s      0.121w   3136 calls
| | Functional                      :      0.350u      0.000s      0.174w   3136 calls
| | V_xc                            :      0.300u      0.017s      0.158w   3136 calls
| JK: D                             :      0.000u      0.000s      0.000w      7 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      7 calls
| JK: JK                            :      0.000u      0.000s      0.004w      7 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.003w      7 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      7 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w      7 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      7 calls
HF: Form F                          :      0.000u      0.000s      0.000w      7 calls
HF: Form D                          :      0.000u      0.000s      0.000w      7 calls
HF: DIIS                            :      0.000u      0.000s      0.008w      6 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.002w      6 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      6 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      6 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      6 calls
| | New vector                      :      0.000u      0.000s      0.000w      6 calls
HF: Form C                          :      0.000u      0.000s      0.004w      6 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.005w      2 calls

**************************************************************************************

Host: WE41476

Timers On : Thu Dec  2 14:59:18 2021
Timers Off: Thu Dec  2 14:59:20 2021

Wall Time:        1.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.033u      0.017s      0.024w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.011w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.017w      5 calls
DFH: initialize()                   :      0.050u      0.017s      0.036w      1 calls
DFH: AO Construction                :      0.017u      0.017s      0.012w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.033u      0.017s      0.027w      1 calls
SAD Guess                           :      0.017u      0.017s      0.026w      1 calls
HF: Form G                          :      0.767u      0.017s      0.474w      7 calls
RV: Form V                          :      0.767u      0.017s      0.470w      7 calls
Properties                          :      0.283u      0.000s      0.121w   3136 calls
Functional                          :      0.267u      0.000s      0.174w   3136 calls
V_xc                                :      0.183u      0.000s      0.159w   3136 calls
JK: D                               :      0.000u      0.000s      0.000w      7 calls
